Case title,Jurisdiction of Origin,UNCAC Offenses Implicated,Money laundering Implicated,Legal Basis for Asset Recovery,Contributing Factors in Asset Recovery,Assets Adjudicated/Not Yet Returned (USD),Case Summary,Disposition of Criminal Case(s)
Sani Abacha / France (Seizing on US Claim),,"Art.16, Art.17, Art.19, Art.20, Art.23",,Action Initiated by Foreign Jurisdiction,"Ongoing case but the Department of Justice press release on March 5, 2014 noted, ""The department appreciates the extensive assistance provided by the Governments of Jersey, France and the United Kingdom in this investigation."" ",,"See related entry, Sani Abacha / United States Civil Asset Forfeiture case.  According to the US Department of Justice, the civil asset forfeiture complaint filed in November 2013 and unsealed in March 2014, ""seeks to forfeit bank accounts and investment portfolios with funds located in Bailiwick of Jersey, France and the United Kingdom. On Feb. 25 and 26, 2014, U.S. arrest warrants for the assets were enforced in Jersey and France though mutual legal assistance requests and in the United Kingdom through litigation brought pursuant to the U.K. Civil Jurisdiction and Judgments Act.""  (Sources: US  Department of Justice, Press release, ""U.S. Freezes More Than $458 Million Stolen by Former Nigerian Dictator in Largest Kleptocracy Forfeiture Action Ever Brought in the U.S.,"" March 5, 2014; see also Order on request of Banque SBA issued by High Court of Paris on April 24, 2014, authorizing the bank to transfer more than $159 million, per criminal seizure order dated February 25, 2014, filed as exhibit in US v. All Assets Held in Account Number 80020796, in name of Doraville Properties Corporation, at Deutsche Bank International, et al, Case No. l:13-cv-01832-JDB (D.D.C.), Warrants of arrest in rem filed July 11, 2014.)","According to a 2008 article by Attorney Enrico Monfrini, an appeal was pending before the Nigerian Supreme Court in the criminal cases arising from charges filed in 2000 and 2001 against Mr. Abacha's sons and associate.  (Source:  Enrico Monfrini, ""The Abacha Case,"" in Mark Pieth, ed., Recovering Stolen Assets (Peter Lang, 2008), accessed at http://www.mcswisslaw.com/pages_e/2008%20Monfrini%20-%20The%20Abacha%20C...."
Paulo Maluf / Brazil-Deutsche Bank settlement,Brazilian Financial Intelligence Unit; Ministry of Justice; Federal Police,,,Settlement agreement,Negotiated settlement,,"According to press releases by the city of Sao Paulo, the Deutsche Bank AG agreed on February 24, 2014 to pay $20 million to settle allegations that the bank helped manage funds embezzled by former city of São Paulo officials while Paulo Maluf was mayor of the city. On the total sum of the settlement, US $18 million will be paid to the city of Sao Paulo (towards construction of kindergartens), the rest will go to the State of Sao Paulo (US $1.5 million), a government fund dedicated to various interests (US$ 300,000),  and  for the payment of the legal fees related to the investigation (US$ 200,000).  According to public prosecution, settlements for similar allegations with UBS AG of Zurich, Safra National Bank of New York and Citigroup Inc of Geneva could be expected for an amount of US$ 60 million. (Source:  City of Sao Paulo Press Release, ""Prefeitura receberá US$ 18 milhões de banco envolvido em desvios"", February 24, 2014 and ""Justiça homologa acordo para banco alemão indenizar Prefeitura em R$ 44 milhões,"" October 20, 2014, at http://www.capital.sp.gov.br/portal/noticia/4870.)  According to a Reuters article, Mr. Silvio Marques, a prosecutor in the case, reported that Deutsche Bank was expected to deposit the proceeds from the settlement within the next 60 days following the settlement.  (Source: Reuters, ""Deutsche Bank to pay $20 mln to settle Brazil charges"", February 24, 2014, available at: http://www.reuters.com/article/2014/02/24/deutschebank-brazil-settlement...). "," According to the March 8, 2007 press release by the New York County District Attorney's Office, Mr. Maluf was indicted in New York for his alleged conspiracy in embezzlement of public funds and concealment of such funds, and that charges were also pending against him in Brazil.  (Source: The People of the State of New York v. Paulo Maluf, Flavio Maluf, Simeao Damasceno de Oliveira, Joel Guedes Fernandes and Vivaldo Alves, Indictment filed on March 8, 2007 in New York state Supreme Court, County of New York and New York County District Attorney's Office, News Release on the Paulo Maluf case, March 8, 2007.)  According to Agence France Presse, on November 4, 2013, Mr. Maluf's conviction on ""administrative corruption"" was upheld by a Brazilian court. (Source: Agence France Presse, ""Graft sentence upheld for ex-Sao Paulo ex-mayor,"" November 4, 2013.)"
Sani Abacha / United Kingdom (Prohibition Order related to US Claim),,"Art.16, Art.17, Art.19, Art.20, Art.23",,Actions Initiated by a Foreign Jurisdiction,"Ongoing case; the High Court stated:  ""Corruption, like other types of fraud, is a global problem and it and its consequences are only going to be dealt with effectively if there is co-operation and assistance not only between the governments of states but also between the courts of different national jurisdictions. Orders enforcing US arrest warrants issued in the US Claim against property in Jersey and France have been made in those jurisdictions and I have no doubt that this court should follow suit and continue the Freezing Injunction ordered by Teare J on 25 February 2014."" (Source: para 48, United States of America (USA) v Abacha & Ors [2014] EWHC 993 (Comm) (08 April 2014)",,"In October 2014, the UK Court of Appeals overturned an earlier High Court decision and lifted the freezing injunction on Abacha related assets that are subject of a civil asset forfeiture proceedings in the U.S. (Source:  Blue Holding (1) Pte Ltd & Ors v United States of America [2014] EWCA Civ 1291 (09 October 2014)).  Thereafter a Prohibition Order took into effect against the properties.  (Source: National Crime Agency v. Abacha, 2015 EWHC 357 Admin, paras 4-10).
	 
	In April 2014, the UK High Court issued a judgment in a case involving an application to continue a Freezing Injunction granted under s.25 of the Civil Jurisdiction and Judgments Act 1982 (""the 1982 Act"") ex parte by Teare J on 25 February 2014 and continued by Walker J on 25 March 2014.  The claimant was the United States of America, which had filed a civil asset forfeiture complaint against assets alleged to be proceeds of corruption of former Nigerian President Sani Abacha and family and associates.  The defendants were: (1) Mohammed Sani Abacha; (2) Abubakar Atiku Bagudu; (3) Mecosta Securities, Inc; (4) Ridley Group Limited; (5) Blue Holding (1) Pte Limted; (6) Blue Holding (2) Pte Limited; (7) Standard Bank plc; (8) HSBC Bank plc; (9) HSBC Life (Europe) Limited; (10) Waverton Investment Management Ltd; and (11) James Hambro & Partners LLP.  According to the decision, Mr. Abacha and Mr. Bagudu (D1 and D2) are alleged to control the assets which are the subject of a civil asset forfeiture claim in the US; respondents 3-6 are companies owned and/or controlled by Mr. Abacha and Mr. Bagudu (D1 and D2) and used by them to hold the assets.  The court noted that D3 and D4 are ""BVI companies that have been struck off the BVI Companies Register for non-payment of statutory fees.""  (para 8)  D5 and D6 ""(together 'Blue Holdings"") are Singaporean companies owned by a trust for the benefit of D2's family."" (para 11).  D7-D11 are ""banks and other financial institutions which are believed (as at dates in the last few years) to hold assets which are subject to the [US] forfeiture claim. No allegation of wrongdoing is made against these defendants."" (para 12)  According to the judgment, the following accounts and amounts are implicated:  ""(1) Standard Bank, which holds assets totalling US$21.7 million in two accounts in London in the name of D3; (2) the 8th and 9th Defendants (""HSBC"") which hold assets totalling US$1.6 million and [GBP] 940,000 in accounts i the name of the D1; and the 10th and 11th Defendants which it is alleged to hold assets totalling [EUR] 95 million in four accounts in the names of companies owned by a trust for the benefit of D2 and certain members of his family."" (para 14).  The Court also notes the 2003 Settlement agreement between the Federal Republic of Nigeria and D2 on behalf of himself and his ""affiliates"" which in exchange for transfer of sums by D2 to the Nigerian government in exchange for ""renouncement by FRN of any interest whatsoever in certain scheduled assets that would be held by D2 free from any claims by FRN.  Included in those scheduled assets are assets the foreiture of which the Claimant seeks in the US claim."" (para 26).  The Court continues, ""It is pertinent to note that (1) although the Nigerian Request for Mutual Assistance addressed to the US Department of Justice under the UN Convention against Corruption [ ] made no mention of the fact that under the settlement with D2 he and his affiliates were permitted to retain free from any claim by the FRN the scheduled assets, and (2) the Claimant was unaware that the FRN had agreed that D2 and his affiliates could retain the scheduled assets until after these proceedings for relief under s. 25 of the 1982 Act were begun."" (para 27)  The Court upheld the freeze, stating: ""The application under s. 25 is not an application to enforce a foreign judgment but to continue an order designed to hold the ring until a judgment in the US claim can be lawfully enforced under the 2005 Order.""  (para 48) (Sources: United States of America (USA) v Abacha & Ors [2014] EWHC 993 (Comm) (08 April 2014); See also Between National Crime Agency and Mohammed Sani Abacha and others, Claim No. C0/2986/14 (High Court, Queen's Bench Division, Administrative Court), Prohibition Order of July 2, 2014, filed in US v. All Assets Held in Account Number 80020796, in name of Doraville Properties Corporation, at Deutsche Bank International, et al, Case No. l:13-cv-01832-JDB (D.D.C.), Warrants of Arrest in Rem filed Jul 11, 2014.)","According to a 2008 article by Attorney Enrico Monfrini, an appeal was pending before the Nigerian Supreme Court in the criminal cases arising from charges filed in 2000 and 2001 against Mr. Abacha's sons and associate.  (Source:  Enrico Monfrini, ""The Abacha Case,"" in Mark Pieth, ed., Recovering Stolen Assets (Peter Lang, 2008), accessed at http://www.mcswisslaw.com/pages_e/2008%20Monfrini%20-%20The%20Abacha%20C...."
Sani Abacha / United States civil asset forfeiture,,"Art.16, Art.17, Art.19, Art.20, Art.23",,Non-Conviction Based Asset Forfeiture,"Ongoing case but the Department of Justice press release on March 4, 2014 noted, ""The department appreciates the extensive assistance provided by the Governments of Jersey, France and the United Kingdom in this investigation."" ",,"In August 2014, the US Department of Justice announced that more than US$480 million in Abacha corruption proceeds had been forfeited to the US: approximately US$303 million in two bank accounts in Bailiwick of Jersey, $144 million in 2 bank accounts in France [note: arrest in rem notes amount as US$159,374,531.89], and at least US$27 million in accounts in the UK and Ireland.  The Department of Justice also noted that claims against US$148 million in four investment portfolios in the UK are pending. (Sources:  US Department of Justice, ""U.S. Forfeits Over $480 Million Stolen by Former Nigerian Dictator in Largest Forfeiture Ever Obtained Through a Kleptocracy Action,"" August 7, 2014; warrants for arrest in rem filed July 11, 2014 in US v. All Assets Held in Account Number 80020796, in name of Doraville Properties Corporation, at Deutsche Bank International, et al, Case No. l:13-cv-01832-JDB (D.D.C.).)  According to the Department of Justice, the restraint of funds includes approximately $313 million in the name of Mohammed Sani and Doraville Properties Corporation in two bank accounts in the Bailiwick of Jersey and $145 million in the name of Rayville International SA and Standard Alliance Financial Services Limited in two bank accounts in France. In addition, four investment portfolios (all assets held in name of Blue Holding traceable to Ridley Group limited) and three bank accounts in the name of Mecosta Securities and Mohammed Sani in the United Kingdom with an expected value of at least $100 million have also been restrained [ ] [and] also seeks to forfeit five corporate entities registered in the British Virgin Islands (Doraville Properties Corporation, Mecosta Securities Inc., Rayville International SA, Ridley group Limited, Standard Alliance Financial Services Limited). (Source: US v. All Assets Held in Account Number 80020796, in name of Doraville Properties Corporation, at Deutsche Bank International, Limited in Jersey, Channel Islands, et al, Case No. l:13-cv-01832-JDB (D.D.C.), Verified Complaint for Civil Asset Forfeiture).The complaint alleged that General Abacha, his son Mohammed Sani Abacha, their associate Abubakar Atiku Bagudu and others embezzled, misappropriated and extorted billions from the government of Nigeria and the Central Bank of Nigeria on the false pretense that the funds were necessary for national security, then laundered their criminal proceeds through the purchase of bonds backed by the United States using U.S. financial institutions. (Source: Department of Justice, Press release, ""U.S. Freezes More Than $458 Million Stolen by Former Nigerian Dictator in Largest Kleptocracy Forfeiture Action Ever Brought in the U.S.."" March 5, 2014.)   Associates and family members of Mr. Abacha have filed Verified Claim and Statement of Interest in the property and filed a motion to dismiss the Government's Verified Claim and Government of Nigeria is also represented by counsel. As of June 2016, the case was ongoing (Source: US v. US v. All Assets Held in Account Number 80020796, in name of Doraville Properties Corporation, at Deutsche Bank International, Limited in Jersey, Channel Islands, et al, Case No. l:13-cv-01832-JDB (D.D.C.), Court Docket Report as of June 27, 2016; Appearance of Counsel filed May 12, 2016)
			 
			 
 ","According to a 2008 article by Attorney Enrico Monfrini, an appeal was pending before the Nigerian Supreme Court in the criminal cases arising from charges filed in 2000 and 2001 against Mr. Abacha's sons and associate.  (Source:  Enrico Monfrini, ""The Abacha Case,"" in Mark Pieth, ed., Recovering Stolen Assets (Peter Lang, 2008), accessed at http://www.mcswisslaw.com/pages_e/2008%20Monfrini%20-%20The%20Abacha%20C...."
Hector Javier Villarreal Hernandez / US Asset Forfeiture - Western District of Texas (Real Estate and Bank Account),,"Art.17, Art.19, Art.20, Art.23",,Non-Conviction Based Asset Forfeiture,Ongoing Case,," See related cases involving assets in Bermuda.  According to the February 18, 2014 Amended Notice of Related Cases filed in US v. Villarreal Hernandez, et al, the following civil asset forfeiture cases have been filed in the US federal court for the Western District of Texas against real properties and bank account with value totalling nearly $23 million:   US v. Real Property Known as an Exxon Service Station/Convenience Store at 4425 E. 14th Street, Brownsville, Texas, Case No. 5:12-cv-377 (value $1,132,128); US v. Real Property Known as Peninsula Island Resort and Spa at 340 South Padre Island Blvd., Unit 602, Building B, South Padre Island, Texas, Case No. 12-cv-379 (value: $280,797); US v. Real Property Known as an Apartment Complex Located at 3454 Boca Chica Blvd., Brownsville, Texas (value: $799,958.00);  US v. Real Property Known as Javi's Carwash Located at 1317 W. Tyler, Harlington, Texas, Case No. 12-cv-374 (value: $307,503); US v. Real Property Known as Javi's Carwash Located at 5215 South Padre Highway, Brownsville, Texas, Case No. 12-cv-375 (value: $309,801); US v. Real Property Known as a Single-family Residence Located at 740 S. Central Ave., Brownsville, Texas, Case No. 12-cv-372 (value: $62,495.90); US v. Real Property Known as Strip/Shopping Center Located at 3454 Boca Chica Blvd., Brownsville, Texas, Case No. 12-cv-382 (value: $361,147); US v. Real Property Known as White Orchid Apartment Complex Located at 3480 Boca Chica Blvd., Brownsville, Texas, Case No. 12-cv-378  (value: $434,734); US v. Real Property Known as a Single-family Residence and Adjacent Lor Located and Situated at 3911 Luz Del Faro, San Antonio, Bexar County, Texas, Case No. 12-cv-383 (value: $1,355,970); US v. Real Property Known as the North Pointe Strip/Shopping Center, More Fully Described as Lots 42, 43, 44 and 45, Block 6, New City Block 17586, San Antonio, Bexar County, Texas, Case No. 12-cv-381 (value: $6,324,570); US v. Real Property Known as CVS Store No. 8978 and Adjacent Vacant Lots Located and Situated at 20203 Stone Oak Parkway, San Antonio, Bexar County, Texas, Case No. 12-cv-376 (value: $3,943,810); US v. Real Property Known as Centurion Storage, a High Rise Mini-storage Facility Located and Situated at 2310 North Loop 1604 West, San Antonio, Bexar County, Texas, Case No. 12-cv-380 (value: $6,560,000); and US v. $1,214,232.59 seized from JP Morgan Chase Acct. (value: $1,214,232.59) (Sources:  US v. Villarreal Hernandez and Torres, Case No. 13-cr-01075 (S.D. Tex), Amended Notice of Related Cases filed February 18, 2014).
	 
	On March 1, 2013, the Court granted the US Government's Motion and Ordered the civil asset forfeiture cases to be stayed pending resolution of all related criminal matters. The cases were reinstated on the Court's Docket in January 26, 2016 and was ongoing as of May 22, 2016. (Sources:  Court Docket reports as of May 22, 2016 in the above listed cases.)   ","As of May 22, 2016, Mr. Villareal Hernandez's sentencing in US Federal Court for the Western District of Texas on money laundering conspiracy charge, to which he had plead guilty, was continued to October 5, 2016.  (Source: US v. Villarreal Hernandez, Case No. 5:14-cr-00100 (W.D. Tex), Agreed and Unopposed, Sealed Motion for Continuance of Sentencing filed February 8, 2016 and Court Docket Report as of May 22, 2016.)"
Jorge Juan Torres / United States,,"Art.17, Art.19, Art.20, Art.23",,Non-Conviction Based Asset Forfeiture; Criminal Prosecution and Forfeiture,Ongoing Case,,"See also related case, Hector Javier Villarreal Hernandez (United States and Bermuda).   In September 2013, the US Government filed a civil asset forfeiture complaint against Old Mutual of Bermuda, Ltd. Contract Number CX4011696 in Bermuda which it alleged constituted proceeds of corruption while Mr. Torres was serving in various government posts including as interm Governor of Coahuila state, Mexico.  In October 2013, the warrant for arrest in rem was executed by the Bermuda Police Service.  In March 2014, Mr. Torres and his wife filed an Answer to the complaint, not denying his government employment but denying allegations including that his government positions as sole source of income.  On August 3, an Order of Default Judgment was granted in the case in favor of the United States.  (Sources:  US v. All Funds on Deposit at Old Mutual of Bermuda, Ltd. Contract Number CX4011696 in Bermuda, Case No. 13-cv-00294 (S.D. Tex), Verified Complaint for Civil Forfeiture in Rem filed September 24, 2013; Executed Warrant of Arrest in Rem filed October 29, 2013; Answer (by Torres) filed March 28, 2014 and Court Docket Report as of October 28, 2015.)
	 
	In the criminal case against Mr. Torres, in November 2014, the US Government filed a Supplemental Notice of Forfeiture of two properties located in Montgomery, Texas at 160 Hermitage Drive and 53 Southwind Drive, as having allegedly been acquired with proceeds of crime.  As of October 28, 2015, the criminal case against Mr. Torres is ongoing.  (Source:  US v. Torres, Case No. 2:13-cr-1075-2 (S.D. Tex), Indictment filed November 20, 2013 and Supplemental Notice of Forfeiture filed November 17, 2014.)","Mr. Torres is under indictment in the US Federal Court for the District of Southern Texas on a charge of money laundering conspiracy.  (Source:  US v. Hernandez Villarreal and Torres, Case No. 2:13-cr-1075 (SD Tex), Indictment filed November 20, 2013 and Court Docket Report as of May 22, 2016. "
Jorge Juan Torres / Bermuda Account,,"Art.17, Art.19, Art.20, Art.23",,Execution of Foreign Warrant of Arrest in Rem (Bermuda); Non-Conviction Based Asset Forfeiture (United States),Ongoing Case,,"See also related case, Hector Javier Villarreal Hernandez (United States and Bermuda).   In September 2013, the US Government filed a civil asset forfeiture complaint against Old Mutual of Bermuda, Ltd. Contract Number CX4011696 in Bermuda which it alleged constituted proceeds of corruption while Mr. Torres was serving in various government posts including as interm Governor of Coahuila state, Mexico.  In October 2013, the warrant for arrest in rem was executed by the Bermuda Police Service.  In March 2014, Mr. Torres and his wife filed an Answer to the complaint, not denying his government employment but denying allegations including that his government positions as sole source of income.  On August 3, 2015, a Default Judgment was entered against the assets in favor of the United States.  (Sources:  US v. All Funds on Deposit at Old Mutual of Bermuda, Ltd. Contract Number CX4011696 in Bermuda, Case No. 13-cv-00294 (S.D. Tex), Verified Complaint for Civil Forfeiture in Rem filed September 24, 2013; Executed Warrant of Arrest in Rem filed October 29, 2013; Answer (by Torres) filed March 28, 2014 and Order of Default Judgment of August 3, 2015.","Mr. Torres is under indictment in the US Federal Court for the District of Southern Texas on a charge of money laundering conspiracy.   (Source:  US v. Hernandez Villarreal and Torres, Case No. 2:13-cr-1075 (SD Tex), Indictment filed November 20, 2013 and Court Docket Report as of May 22, 2016.)"
Sani Abacha (Liechtenstein),Special Panel established to investigate Abacha looting,"Art.16, Art.17, Art.19, Art.20, Art.23",Yes,Actions Initiated by Foreign Jurisdiction; Criminal Prosecution,"""Liechtenstein and Nigeria are States Parties to the United Nations Convention against Corruption (UNCAC). Liechtenstein fully recognizes its obligation to prosecute all forms of corruption together with the other States Parties and to repatriate confiscated assets associated with corruption to the injured States.""  (Source:  Principality of Liechtenstein Press Release, ""Return of 'Abacha Assets,"" June 18, 2014.);  Investigatory assistance and cooperation by a number of countries, involvement of Stolen Asset Recovery Initiative and World Bank agreement to monitor use of funds (Sources: Ibid., and Emile van der Does de Willebois, ""No Statute of Limitations for Corruption:  Liechtenstein returns $225 million in stolen assets to Nigeria,"" Stolen Asset Recovery Initiative Blog, June 19, 2014.)",,"In June 2014, the Principality of Liechtenstein announced that it was returning approximately $225 milion in Abacha-related assets to Nigeria:  ""In its meeting on 17 June 2014, the Government approved repatriation to the Federal Republic of Nigeria of the last tranche of the assets associated with the family of the former president of Nigeria, General Abacha, in the amount of EUR 167 million. These assets had been declared forfeited to the Principality of Liechtenstein in a final judgment. At the same time, at the request of Nigeria and in accordance with Liechtenstein the World Bank declared its willingness to monitor the use of the repatriated assets.
	 
	On the basis of suspicious activity reports submitted to the Financial Intelligence Unit of Liechtenstein, the Liechtenstein Office of the Public Prosecutor launched corruption investigations in 2000. In 2008, the Criminal Court sentenced several companies attributed to the Abacha family to the payment of a sum of money proven to have been taken from the national budget of Nigeria. With the judgment of the Constitutional Court in 2012, the recovery of the assets became final. Since several companies did not surrender the assets subject to the recovery order, enforcement proceedings had to be carried out.
	 
	Upon conclusion of these proceedings, the assets held by one of the companies in the amount of EUR 7.5 million were repatriated to Nigeria at the end of 2013.
	 
	However, four of the companies affected by the Abacha case filed a complaint against the Principality of Liechtenstein at the European Court of Human Rights (ECtHR) in Strasbourg in August 2012, leading to a further delay in the repatriation of the remaining assets on liability grounds. In January 2014, talks were held at the governmental level in this regard between Nigeria and Liechtenstein. In May 2014, the complaint pending in Strasbourg was withdrawn by the four Abacha companies, clearing the path for repatriation of the assets once and for all.""  (Source:  Principality of Liechtenstein Press Release, ""Return of 'Abacha Assets,"" June 18, 2014.)    ","According to a 2008 article by Attorney Enrico Monfrini, an appeal was pending before the Nigerian Supreme Court in the criminal cases arising from charges filed in 2000 and 2001 against Mr. Abacha's sons and associate.  (Source:  Enrico Monfrini, ""The Abacha Case,"" in Mark Pieth, ed., Recovering Stolen Assets (Peter Lang, 2008), accessed at http://www.mcswisslaw.com/pages_e/2008%20Monfrini%20-%20The%20Abacha%20C...."
Hosni Mubarak (Spain),,"Art.17, Art.23",Yes,,,,"According to a December 13, 2012 press release by the National Police, EUR 28 million in financial instruments, properties in Madrid and Marbella, and luxury vehicles have been frozen.  The Spanish investigation into the assets located in Spain belonging to the former President Mubarak, his family, associates and related entities encompassed over 130 individuals.  (Source:  Cuerpo Nacional de Policia, Nota de Prensa, ""La Policía Nacional ejecuta una comisión rogatoria internacional / Localizados en España 28.000.000€ en productos financieros y propiedades inmobiliarias vinculados a Hosny Mubarak,"" December 13, 2012.)","According to the New York Times and other sources, in May 2014, Mr. Mubarak was convicted on charge of embezzlement and sentenced to three years' imprisonment. (Source:  David Kirkpatrick, ""Mubarak Gets 3 Years for Embezzlement, and His Sons Get 4,"" New York Times, May 21, 2014.)"
Muammar el-Qaddafi (and related entities and individuals) (South Africa),,Art.17,,United Nations Security Council Resolution,Ongoing,Unspecified Amount,"In June 2013, South Africa's Minister of Finance announced that his country would return unspecified amount of assets to Libya. In a June 20, 2013 statement, the Minister stated: ""The facts of this matter are as follows:  There are Libyan shareholdings in South African entities that were made on a commercial basis. These include the Michelangelo Towers in Sandton, the Centurion Lake Hotel, the Commodore and Portswood Hotels in Cape Town, and the Kruger Park Lodge in Mpumalanga.  Then there have been allegations of Libyan funds and assets that were brought to South Africa under dubious circumstances. None of the people who have made these allegations have produced evidence regarding the transfer of these assets and funds to South Africa. Those who have evidence should hand it over to the relevant Libyan or United Nations authorities."" (Sources: Republic of South Africa, Ministry of Finance, Media Statement by Minister Gordhan on Repatriation from South Africa of Libyan Funds and Assets, June 13, 2013 and Statement by Minister Gordhan to Clarify the Issue of Libyan Assets and Funds, June 20, 2013.)","Mr. Qaddafi passed away on October 20, 2011 (Source: New York Times, ""Muammar el Qaddafi""); as of October 31, 2011 cases in investigatory stage as to other individuals and entities."
Carlos Garcia / Clarita Garcia / Timothy Mark D. Garcia (New York Bank Accounts),,"Art.15, Art.17, Art.20, Art.23",Yes,Non-Conviction Based Confiscation,Ongoing Case,,"Related to the General Carlos Garcia corruption cases in the Philippines, the U.S. filed criminal and civil actions against members of the Garcia family and their US assets.  The actions include this 2012 civil asset forfeiture case filed against two bank accounts in New York totalling $245,520.94.  According to the complaint filed in the case, the assets were proceeds of General Garcia's corruption and as part of the plea agreement in his Philippines case, his wife and son forfeited the accounts to the Government of Philippines.  The US had alleged that Clarita Garcia had smuggled the cash into the US in 2003-2004 and deposited them into accounts belonging to herself and her son, and over $1.3 million were wire transferred from a Philippines bank to accounts in the U.S. On April 18, 2013, a Default Judgment was ordered in favor of the U.S. (Sources:  US v. $201,166.08 in US Currency and [  ] $44,354.86 in US currency [ ] in name of ICJ Access Worldwide, Case No. 1:12-cv-9388 (SDNY), Verified Claim filed December 26, 2012 and Default Judgment filed April 18, 2013).
According to a statement by the US Embassy Manila, on June 3, 2015, ""U.S. Ambassador Philip S. Goldberg presented Ombudsman Conchita Carpio-Morales with a check in the amount of U.S. $1,384,940.28 payable to the Republic of the Philippines. The check represents “ill-gotten” gains acquired by former AFP Comptroller General Carlos F. Garcia.  [  ]  Philippine and U.S. investigators worked closely together to determine that General Garcia laundered a substantial portion of his criminal proceeds through the United States.  In particular, investigators with the U.S. Department of Homeland Security traced the criminal proceeds to two Citibank accounts in New York and a condominium in Trump Tower in New York.  The U.S. Attorney's Office for the Southern District of New York then initiated civil forfeiture proceedings against those assets and eventually obtained default judgments of forfeiture.  The net proceeds resulting from the sale of the condominium and the funds from the two Citibank accounts were returned to the Philippines by the United States today.""  (Source: US Embassy Manila, ""U.S. Helps Philippines Recover 'Ill-Gotten Gains'”, June 3, 2015, at http://manila.usembassy.gov/press-photo-releases-2015/us-helps-philippines-recover-ill-gotten-gains.html.)
 ","According to a June 3, 2015 statement by the Ombudsman of the Philippines, ""the Office of the Ombudsman filed criminal cases of perjury, money laundering and plunder against [Carlos] Garcia who eventually was convicted of perjury by the Sandiganbayan.  In the last two criminal cases, Garcia pleaded to the lesser offenses of Indirect Bribery and Facilitating Money Laundering, which plea bargaining is the subject of review by the Supreme Court.  Meanwhile, forfeiture proceedings are pending with the Sandiganbayan.""  (Source:  Office of the Ombudsman, ""US turns over $1.38M proceeds of Garcia’s forfeited assets,"" June 3,2015.)
According to the April 5, 2005 Information against former Mr. Garcia, his wife Clarita Garcia and their sons Ian Carl, Juan Paulo and Timothy Mark D. Garcia, the Philippines Ombudsman's Office had charged them with committing the crime of Plunder.  (Source:  In the Matter of Extradition of Clarita Depakakibo Garcia, Case No. 2:09-mc-50231 (E.D. Mich.), Annex A to Extradition compaint filed on March 4, 2009).  In November 2010, Ian Carl and Juan Paulo Depakakibo were sentenced to time served by U.S. District Court for the Northern District of California, subsequent to their guilty plea on bulk cash smuggling charge.   (Source: U.S. v. Ian Carl Depakakibo and Juan Paulo Depakakibo, Case No. 08-cr-00888-MHP (N.D. Cal.), Judgment in a Criminal Case, filed on December 1, 2010.)
 "
Zine El Abidine Ben Ali (Lebanon),"Tunisian Financial Intelligence Unit, the Committee for the Return of Stolen Assets, Ministry of Justice","Art.17, Art.23",,Criminal Confiscation (Tunisia),"Efforts by Tunisia, including Tunisian Financial Intelligence Unit, the Committee for the Return of Stolen Assets, and Ministry of Justice; International and Regional Cooperation, including through the Arab Forum on Asset Recovery organized by Qatar and United States Presidency of the G8 (Source: Jean Pierre Brun and Richard Miron, ""Tunisia's cash back: the start of more to come?,"" Public Sector Development Blog, World Bank, April 15, 2013.)",,"According to a December 2012 decision by the Fifth Chamber of the Beirut Court of Appeals, upon examination and consideration of the petition submitted by the Republic of Tunisia by way of the Ministry of Justice, the Court granted the writ of execution for the decision rendered by the Fifth Criminal circuit of the Court of First Instance in Tunisia, ordering the confiscation of the assets of Leila Bent Mohammed Bent Rahouma-al-Trabelsi deposited in her bank account at the Lebanese Canadian Bank S.A.L. in Lebanon.  The petitioner was ordered to bear fully the fees and expenses in the case.  (Source: Unpublished decision issued in Case No. 893, December 12, 2012.)   According to a blog by the Stolen Asset Recovery Initiative, the funds were ""handed over [by Lebanon] in the form of a check to Tunisia's current President Moncef Marzouki by Ali bin Fetais-al-Marri"" Attorney General of Qatar and UNODC Special Advocate on Stolen Asset Recovery."" (Source:  Jean Pierre Brun and Richard Miron, ""Tunisia's cash back: the start of more to come?,"" Public Sector Development Blog, World Bank, April 15, 2013.)","According to a January 26, 2011 media release by INTERPOL, Mr. Ben Ali's arrest was sought by Tunisia on charges of alleged property theft and illegal transfer of foreign currency.  (Source: INTERPOL media release, ""Tunisia seeks ousted President and family via INTERPOL,"" January 26, 2011)  According to secondary sources, Mr. Ben Ali was convicted in absentia in June 2011 on theft and unlawful possesion of cash and jewelry;  in July 2011, he was convicted of property related charges. (Source:  BBC News, ""Tunisia's Ben Ali guilty on drugs and gun charges,"" July 4, 2011 and ""Tunisia's Ben Ali guilty of corrupt property deals,"" July 29, 2011) and in June 2012, he was sentenced  by a Tunisian military court to life imprisonment for his complicity in the murder and attempted murder of demonstrators; Human Rights Watch noted that Mr. Ben Ali has been tried and convicted in absentia and if he returned to Tunisia, he would be entitied to a new trial. (Source:  Clive Baldwin, ""After Ben-Ali's Conviction: The State of Tunisian Justice,"" Human Rights Watch, June 16, 2012.)  
	 "
